iter	Passed	Remaining
615	36127	22521
616	36171	22453
617	36217	22386
618	36265	22321
619	36316	22258
620	36369	22196
621	36436	22143
622	36492	22082
623	36539	22017
624	36582	21949
625	36635	21887
626	36688	21825
627	36743	21765
628	36792	21701
629	36843	21638
630	36893	21575
631	36945	21512
632	36994	21448
633	37037	21381
634	37080	21313
635	37124	21247
636	37173	21183
637	37217	21117
638	37261	21050
639	37314	20989
640	37376	20933
641	37432	20873
642	37484	20811
643	37526	20744
644	37571	20678
645	37620	20615
646	37673	20554
647	37725	20492
648	37772	20428
649	37818	20363
650	37868	20301
651	37912	20235
652	37957	20170
653	38006	20107
654	38051	20042
655	38116	19987
656	38167	19925
657	38215	19862
658	38258	19796
659	38303	19732
660	38343	19664
661	38386	19598
662	38434	19536
663	38486	19475
664	38540	19415
665	38587	19351
666	38633	19287
667	38685	19226
668	38727	19161
669	38781	19101
670	38830	19039
671	38875	18975
672	38921	18911
673	38965	18847
674	39012	18783
675	39052	18717
676	39101	18655
677	39147	18592
678	39188	18526
679	39239	18465
680	39290	18404
681	39330	18338
682	39373	18274
683	39422	18212
684	39462	18147
685	39508	18083
686	39551	18019
687	39590	17953
688	39628	17887
689	39672	17824
690	39710	17757
691	39754	17694
692	39797	17630
693	39839	17566
694	39878	17500
695	39920	17436
696	39963	17372
697	40006	17309
698	40044	17243
699	40084	17179
700	40127	17115
701	40171	17052
702	40215	16989
703	40258	16926
704	40307	16866
705	40355	16805
706	40397	16741
707	40441	16679
708	40488	16618
709	40535	16556
710	40590	16498
711	40631	16435
712	40677	16373
713	40718	16310
714	40763	16248
715	40807	16186
716	40854	16125
717	40890	16060
718	40934	15998
719	40979	15936
720	41020	15873
721	41087	15820
722	41143	15762
723	41187	15701
724	41228	15638
725	41270	15576
726	41314	15514
727	41353	15450
728	41392	15387
729	41437	15326
730	41485	15266
731	41524	15202
732	41570	15142
733	41615	15081
734	41660	15020
735	41704	14959
736	41748	14897
737	41790	14836
738	41836	14775
739	41881	14715
740	41933	14656
741	41972	14594
742	42030	14538
743	42077	14478
744	42128	14419
745	42174	14359
746	42214	14297
747	42256	14236
748	42299	14175
749	42338	14112
750	42384	14052
751	42433	13994
752	42477	13933
753	42524	13873
754	42577	13816
755	42655	13767
756	42708	13709
757	42779	13657
758	42833	13600
759	42887	13543
760	42935	13484
761	42981	13424
762	43036	13367
763	43082	13308
764	43126	13248
765	43171	13188
766	43217	13128
767	43288	13076
768	43334	13017
769	43384	12958
770	43443	12903
771	43492	12844
772	43544	12787
773	43590	12728
774	43641	12670
775	43695	12613
776	43742	12554
777	43790	12495
778	43838	12436
779	43914	12386
780	43973	12330
781	44024	12272
782	44071	12213
783	44116	12154
784	44164	12096
785	44212	12037
786	44251	11976
787	44299	11918
788	44350	11860
789	44395	11801
790	44435	11740
791	44473	11679
792	44515	11620
793	44558	11560
794	44606	11502
795	44649	11442
796	44693	11383
797	44737	11324
798	44774	11263
799	44817	11204
800	44864	11145
801	44909	11087
802	44952	11028
803	44994	10968
804	45040	10910
805	45078	10850
806	45111	10788
807	45245	10751
808	45295	10694
809	45349	10637
810	45392	10578
811	45440	10520
812	45484	10461
813	45529	10403
814	45571	10344
815	45617	10286
816	45662	10227
817	45722	10172
818	45764	10114
819	45805	10054
820	45852	9996
821	45891	9937
822	45941	9880
823	45995	9824
824	46051	9768
825	46101	9711
826	46145	9653
827	46195	9596
828	46240	9538
829	46283	9479
